bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
acald_c,Acetaldehyde,GSC,GSC,IS,IS,IS,IS,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,IS,IS,IS,IS,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
acetol_c,Acetol cytosol,,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT
acglu_c,N-Acetyl-L-glutamate,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
acorn_c,N2-Acetyl-L-ornithine,OUT,OUT,,,,,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,,,,,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
acser_c,O-Acetyl-L-serine,GSC,GSC,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,,,,GSC,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
actp_c,Acetyl phosphate,GSC,GSC,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,,,,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
adp_c,ADP C10H12N5O10P2,OUT,OUT,IN,IN,IN,IN,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,IN,IN,IN,IN,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
adprib_c,ADPribose C15H21N5O14P2,,IN,IN,IN,IN,IN,IN,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,IN,IN,IN,IN,IN,IN,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
ag_c,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahdt_c,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",IS,GSC,IS,IS,IS,IS,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,OUT,IS,GSC,IS,IS,IS,IS,OUT,GSC,GSC,IN,GSC,GSC,GSC,GSC,OUT
